474,684,764,1224,830,1219,797,544,1220,219,177,514,960,524,518,1165,1230,1197,1050,561,864,565,865,829,1140,1003,459,828,290,685,844,1073,1225,1229,1038,542,7,260,1223,831,833,388,1095,1226,428,314,758,663,919,729,1084,966,95,1007,1127,963,923,683,374,992,507,872,1006,66,181,1103,408,546,1146,1119,172,1186,989,861,1086,1139,1204,816,1154,1206,572,80,1055,1157,144,887,681,71,320,1126,83,107,1193,447,1071,169,1017,702,26,490,122,1147,554,794,1181,321,1122,971,1222,991,957,889,204,451,899,882,455,845,843,858,1120,159,836,1044,443,678,125,178,588,894,419,550,835,255,103,834,67,1101,947,510,568,893,993,86,359,1028,394,30,153,491,403,587,945,1106,866,809,1043,6,900,938,1132,917,832,1228,1034,131,927,654,525,1025,837,869,430,1014,1153,583,577,1089,1029,18,884,916,1059,545,863,1142,1208,881,176,733,360,608,903,494,922,1019,469,285,331,920,370,1136,420,1116,391,1156,918,150,234,51,173,584,1024,709,941,464,438,1131,1064,1107,536,1023,527,1001,892,94,189,149,480,879,29,21,1069,994,1027,227,1042,958,33,552,949,113,424,465,326,604,1112,121,714,570,41,179,1105,790,1124,482,1063,842,407,1180,1167,79,1176,167,933,163,65,851,1088,857,309,870,1040,333,1171,538,501,689,897,856,637,276,1080,594,1143,444,981,351,267,50,147,980,965,969,974,192,909,282,466,840,1221,868,1200,1078,207,1010,847,1183,364,874,948,69,1144,334,251,859,1166,512,390,1117,1121,223,225,1102,789,1033,1008,901,807,838,907,387,1004,1212,988,591,1087,871,1072,562,1065,508,100,504,193,16,102,984,11,959,486,64,88,862,485,325,398,1214,90,1011,682,283,503,471,233,804,141,1189,586,513,174,261,12,1077,814,442,599,671,1161,1114,961,32,1215,967,848,218,687,597,668,341,145,1188,1145,39,520,409,397,477,896,990,237,1032,1134,47,551,448,875,1164,202,718,707,183,1198,1155,495,1009,1138,335,885,328,1218,935,322,1216,1151,614,140,1170,45,515,559,478,496,368,1213,581,1083,166,929,1035,788,205,1187,695,338,1227,258,760,1217,293,1129,982,942,1013,1061,27,385,529,1168,996,953,962,427,1162,401,1185,1205,1115,78,1210,332,1100,114,964,1026,38,590,995,972,1062,418,934,256,1081,1109,717,1016,997,915,904,575,55,1135,812,973,1211,97,375,89,280,605,386,460,624,446,1201,231,1163,224,659,1051,1021,951,1172,1202,806,123,461,1148,292,243,1041,888,191,493,324,533,1098,902,1005,143,284,623,987,1012,498,1137,108,1,911,316,1175,928,610,688,906,567,1070,295,476,1076,1141,589,1067,1045,468,1082,44,470,287,1174,1182,977,1152,416,432,517,532,746,952,257,924,985,101,296,473,484,810,1196,1199,1195,93,954,1192,393,1046,450,437,607,1190,1068,49,73,1002,317,1030,117,726,99,580,396,161,516,1194,939,190,766,883,849,940,137,421,1130,436,638,216,19,142,556,208,417,1128,13,946,68,1057,603,509,1111,647,820,199,54,454,156,535,629,457,1149,61,187,1150,1036,85,1207,905,932,1160,1118,1158,411,1133,132,211,979,914,217,1052,986,201,238,1053,349,357,555,1085,560,641,1123,200,175,632,17,1075,355,57,1113,1179,600,311,978,1209,274,1159,801,761,895,1039,1184,72,1178,281,128,609,619,56,489,531,1079,781,1177,1037,343,890,679,228,367,579,76,268,1018,392,644,921,999,134,1074,627,1091,1015,170,74,59,165,937,1173,931,186,111,148,891,116,350,936,249,645,956,1000,543,1066,115,479,955,1104,422,77,312,112,245,1096,48,277,1020,1058,748,943,1125,1056,345,1108,182,998,272,352,537,1022,1049,944,950,930,656,1090,898,196,304,606,1031,365,1203,526,60,1110,1047,643,968,1097,203,975,1099,327,236,970,593,912,666,262,23,913,634,631,1094,1093,8,222,983,1048,120,1054,435,880,785,908,926,910,1169,1060,976,886,1092,
Laplacian Score information
927 : 0.97999782048
654 : 0.980044578609
525 : 0.980215255894
1025 : 0.980215255894
837 : 0.980251535343
869 : 0.980278314349
430 : 0.980282598259
1014 : 0.980282598259
1153 : 0.980297632101
583 : 0.98032150039
577 : 0.980340791062
1089 : 0.980390064141
1029 : 0.980428879825
18 : 0.980478166667
884 : 0.980585024085
916 : 0.980675304685
1059 : 0.980811429896
545 : 0.980834706439
863 : 0.980888569983
1142 : 0.980888569983
1208 : 0.980898185748
881 : 0.980911097207
176 : 0.980955214425
733 : 0.980975424295
360 : 0.981017452073
608 : 0.981017452073
903 : 0.981017452073
494 : 0.981028246774
922 : 0.981028246774
1019 : 0.981028246774
469 : 0.981055823218
285 : 0.981064217724
331 : 0.981073422314
920 : 0.98108972293
370 : 0.981124391868
1136 : 0.981242041402
420 : 0.981260230709
1116 : 0.981340241315
391 : 0.981355453213
1156 : 0.98139548226
918 : 0.981421847743
150 : 0.981674881439
234 : 0.981726709936
51 : 0.981734090527
173 : 0.981734090527
584 : 0.981734090527
1024 : 0.981734090527
709 : 0.981735413852
941 : 0.981772333063
464 : 0.981782206254
438 : 0.981787526191
1131 : 0.981848437819
1064 : 0.981908196395
1107 : 0.981935471148
536 : 0.98198943963
1023 : 0.982051301982
527 : 0.98220459899
1001 : 0.982204863214
892 : 0.982204863214
94 : 0.982205822831
189 : 0.982205822831
149 : 0.982290325017
480 : 0.982290325017
879 : 0.982309365988
29 : 0.982311664912
21 : 0.982312800149
1069 : 0.982313463712
994 : 0.982353179276
1027 : 0.982387225021
227 : 0.982413856963
1042 : 0.98248685014
958 : 0.982512445253
33 : 0.982582349608
552 : 0.982628357713
949 : 0.982673119876
113 : 0.982699349629
424 : 0.982718238914
465 : 0.982725598309
326 : 0.982766716265
604 : 0.982766716265
1112 : 0.982832822956
121 : 0.982892508261
714 : 0.982892508261
570 : 0.982962855425
41 : 0.982988966282
179 : 0.983066892831
1105 : 0.983092017827
790 : 0.983129255247
1124 : 0.983129255247
482 : 0.983153707659
1063 : 0.983221566825
842 : 0.983223146395
407 : 0.983226533457
1180 : 0.98323001668
1167 : 0.98329784326
79 : 0.983328666241
1176 : 0.983328666241
167 : 0.983399822614
933 : 0.983411195244
163 : 0.983699542645
65 : 0.983800531142
851 : 0.983821477262
1088 : 0.983821477262
857 : 0.983834520522
309 : 0.98387443586
870 : 0.983881919327
1040 : 0.983909364791
333 : 0.983976563932
1171 : 0.984043386268
538 : 0.984126927842
501 : 0.984171863836
689 : 0.98417198173
897 : 0.98417198173
856 : 0.98424322517
637 : 0.984358657455
276 : 0.984375695137
1080 : 0.984509096803
594 : 0.984565108127
1143 : 0.984628014667
444 : 0.984675277144
981 : 0.984800097431
351 : 0.984917611617
267 : 0.984978632871
50 : 0.98510662716
147 : 0.985110632961
980 : 0.985166045518
965 : 0.985166045518
969 : 0.985166045518
974 : 0.985177244899
192 : 0.985213128919
909 : 0.98531481586
282 : 0.985474799517
466 : 0.985696532696
840 : 0.986136093432
1221 : 0.986161509336
868 : 0.986161553925
1200 : 0.98632919607
1078 : 0.986382310917
207 : 0.986653379292
1010 : 0.986758943474
847 : 0.986979246802
1183 : 0.987005786151
364 : 0.987054697559
874 : 0.987069213236
948 : 0.987107107186
69 : 0.987178969738
1144 : 0.987190447796
334 : 0.987223037495
251 : 0.987344376032
859 : 0.987429128964
1166 : 0.987532393678
512 : 0.987745511857
390 : 0.987792709034
1117 : 0.987813603026
1121 : 0.987849576404
223 : 0.987878474155
225 : 0.987949398721
1102 : 0.988091088372
789 : 0.988201255263
1033 : 0.988230708336
1008 : 0.98837803662
901 : 0.988433037101
807 : 0.988641592755
838 : 0.988746334425
907 : 0.988836499372
387 : 0.988920734129
